timestamp;buyer;seller;symbol;currency;price;quantity
3200;;;EMERALDS;XIRECS;9992.0;8
3400;;;TOMATOES;XIRECS;5009.0;2
5000;;;EMERALDS;XIRECS;9992.0;7
7000;;;TOMATOES;XIRECS;5010.0;4
9600;;;TOMATOES;XIRECS;4999.0;5
9900;;;TOMATOES;XIRECS;5000.0;4
16400;;;TOMATOES;XIRECS;4996.0;2
17900;;;TOMATOES;XIRECS;5009.0;2
22200;;;TOMATOES;XIRECS;5005.0;3
23500;;;TOMATOES;XIRECS;4989.0;3
24600;;;TOMATOES;XIRECS;5002.0;5
26100;;;TOMATOES;XIRECS;4988.0;2
31400;;;EMERALDS;XIRECS;10008.0;3
34700;;;TOMATOES;XIRECS;4998.0;4
36400;;;TOMATOES;XIRECS;4986.0;2
36700;;;TOMATOES;XIRECS;4985.0;2
39400;;;TOMATOES;XIRECS;4978.0;2
39900;;;EMERALDS;XIRECS;9992.0;7
42400;;;EMERALDS;XIRECS;9992.0;5
43900;;;TOMATOES;XIRECS;4989.0;5
51300;;;EMERALDS;XIRECS;9992.0;7
52800;;;TOMATOES;XIRECS;4994.0;4
53100;;;TOMATOES;XIRECS;4995.0;2
53600;;;TOMATOES;XIRECS;4996.0;2
54400;;;TOMATOES;XIRECS;4983.0;3
55300;;;EMERALDS;XIRECS;9992.0;6
55700;;;EMERALDS;XIRECS;9992.0;4
59700;;;TOMATOES;XIRECS;4993.0;5
62700;;;EMERALDS;XIRECS;9992.0;8
64100;;;TOMATOES;XIRECS;4984.0;4
66100;;;TOMATOES;XIRECS;4990.0;3
66700;;;EMERALDS;XIRECS;10008.0;7
67300;;;EMERALDS;XIRECS;9992.0;7
70600;;;TOMATOES;XIRECS;4993.0;2
71200;;;TOMATOES;XIRECS;4993.0;2
73500;;;TOMATOES;XIRECS;4982.0;3
73700;;;EMERALDS;XIRECS;9992.0;3
74200;;;TOMATOES;XIRECS;4996.0;3
75200;;;TOMATOES;XIRECS;4982.0;4
78300;;;TOMATOES;XIRECS;4997.0;5
79100;;;TOMATOES;XIRECS;4984.0;5
80300;;;TOMATOES;XIRECS;4985.0;3
80400;;;EMERALDS;XIRECS;9992.0;3
80900;;;TOMATOES;XIRECS;4984.0;2
81000;;;TOMATOES;XIRECS;4984.0;4
81400;;;TOMATOES;XIRECS;4984.0;5
83800;;;EMERALDS;XIRECS;9992.0;7
84500;;;TOMATOES;XIRECS;4979.0;3
85500;;;TOMATOES;XIRECS;4977.0;2
86000;;;TOMATOES;XIRECS;4991.0;5
87600;;;EMERALDS;XIRECS;9992.0;8
93900;;;EMERALDS;XIRECS;10008.0;7
94000;;;TOMATOES;XIRECS;4978.0;3
